key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
State,observationAbout,{Data},populationType,Person,healthOutcome,Asthma,,,,,,
year,observationDate,{Data},,,,,,,,,,
,,,,,,,,,,,,
life_stage:child,age,YearsUpto18,,,,,,,,,,
life_stage:adult,age,Years18Onwards,,,,,,,,,,
,,,,,,,,,,,,
Prevalence (Percent),value,{Number},statType,measuredValue,measuredProperty,percent,unit,Percent,,,,
Prevalence (percent),value,{Number},statType,measuredValue,measuredProperty,percent,unit,Percent,,,,
Standard Error,value,{Number},statType,stdError,measurementDenominator,"-statType,-healthOutcome",measuredProperty,count,scalingFactor,100,unit,Percent
Sample Sizec,value,{Number},statType,sampleSize,measuredProperty,count,,,,,,
Sample Sized,value,{Number},statType,sampleSize,measuredProperty,count,,,,,,
Sample Size,value,{Number},statType,sampleSize,measuredProperty,count,,,,,,
,,,,,,,,,,,,
White NH,ethnicity,NotHispanicOrLatino,race,WhiteAlone,,,,,,,,
White NH ***,ethnicity,NotHispanicOrLatino,race,WhiteAlone,,,,,,,,
Black NH,ethnicity,NotHispanicOrLatino,race,BlackOrAfricanAmericanAlone,,,,,,,,
Other NH,ethnicity,NotHispanicOrLatino,race,CDC_OtherRace,,,,,,,,
Wh non-Hisp,ethnicity,NotHispanicOrLatino,race,WhiteAlone,,,,,,,,
Bl non-Hisp,ethnicity,NotHispanicOrLatino,race,BlackOrAfricanAmericanAlone,,,,,,,,
Other non-Hisp,ethnicity,NotHispanicOrLatino,race,CDC_OtherRace,,,,,,,,
White-NH,ethnicity,NotHispanicOrLatino,race,WhiteAlone,,,,,,,,
Black-NH,ethnicity,NotHispanicOrLatino,race,BlackOrAfricanAmericanAlone,,,,,,,,
Other-NH,ethnicity,NotHispanicOrLatino,race,CDC_OtherRace,,,,,,,,
Multirace-NH,ethnicity,NotHispanicOrLatino,race,TwoOrMoreRaces,,,,,,,,
Multirace NH,ethnicity,NotHispanicOrLatino,race,TwoOrMoreRaces,,,,,,,,
Hispanic,ethnicity,HispanicOrLatino,,,,,,,,,,
Multi,race,TwoOrMoreRaces,,,,,,,,,,
Multiracial,race,TwoOrMoreRaces,,,,,,,,,,
Multirace,race,TwoOrMoreRaces,,,,,,,,,,
White,race,WhiteAlone,,,,,,,,,,
Black,race,BlackOrAfricanAmericanAlone,,,,,,,,,,
Other,race,CDC_OtherRace,,,,,,,,,,

