statvar,dcid
StdError_Count_Person_65OrMoreYears_WithAsthma_AsAFractionOf_Count_Person_65OrMoreYears,StdError_Count_Person_65OrMoreYears_WithAsthma
StdError_Count_Person_0To4Years_WithAsthma_AsAFractionOf_Count_Person_0To4Years,StdError_Count_Person_0To4Years_WithAsthma
StdError_Count_Person_5To9Years_WithAsthma_AsAFractionOf_Count_Person_5To9Years,StdError_Count_Person_5To9Years_WithAsthma
StdError_Count_Person_10To14Years_WithAsthma_AsAFractionOf_Count_Person_10To14Years,StdError_Count_Person_10To14Years_WithAsthma
StdError_Count_Person_15To17Years_WithAsthma_AsAFractionOf_Count_Person_15To17Years,StdError_Count_Person_15To17Years_WithAsthma
StdError_Count_Person_18To24Years_WithAsthma_AsAFractionOf_Count_Person_18To24Years,StdError_Count_Person_18To24Years_WithAsthma
StdError_Count_Person_25To34Years_WithAsthma_AsAFractionOf_Count_Person_25To34Years,StdError_Count_Person_25To34Years_WithAsthma
StdError_Count_Person_35To44Years_WithAsthma_AsAFractionOf_Count_Person_35To44Years,StdError_Count_Person_35To44Years_WithAsthma
StdError_Count_Person_45To54Years_WithAsthma_AsAFractionOf_Count_Person_45To54Years,StdError_Count_Person_45To54Years_WithAsthma
StdError_Count_Person_55To64Years_WithAsthma_AsAFractionOf_Count_Person_55To64Years,StdError_Count_Person_55To64Years_WithAsthma
StdError_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999_AsAFractionOf_Count_Person_IncomeOfUSDollarUpto14999,StdError_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999
StdError_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999_AsAFractionOf_Count_Person_IncomeOfUSDollar15000To24999,StdError_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999
StdError_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999_AsAFractionOf_Count_Person_IncomeOfUSDollar25000To49999,StdError_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999
StdError_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999_AsAFractionOf_Count_Person_IncomeOfUSDollar50000To74999,StdError_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999
StdError_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards_AsAFractionOf_Count_Person_IncomeOfUSDollar75000Onwards,StdError_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards
StdError_Count_Person_WithAsthma_WhiteAlone_AsAFractionOf_Count_Person_WhiteAlone,StdError_Count_Person_WithAsthma_WhiteAlone
StdError_Count_Person_WithAsthma_OtherRace_AsAFractionOf_Count_Person_OtherRace,StdError_Count_Person_WithAsthma_OtherRace
StdError_Count_Person_WithAsthma_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person_BlackOrAfricanAmericanAlone,StdError_Count_Person_WithAsthma_BlackOrAfricanAmericanAlone
StdError_Count_Person_WithAsthma_TwoOrMoreRaces_AsAFractionOf_Count_Person_TwoOrMoreRaces,StdError_Count_Person_WithAsthma_TwoOrMoreRaces
StdError_Count_Person_HispanicOrLatino_WithAsthma_AsAFractionOf_Count_Person_HispanicOrLatino,StdError_Count_Person_HispanicOrLatino_WithAsthma
StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone_AsAFractionOf_Count_Person_NotHispanicOrLatino_WhiteAlone,StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone
StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace_AsAFractionOf_Count_Person_NotHispanicOrLatino_OtherRace,StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace
StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone_AsAFractionOf_Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone
StdError_Count_Person_Years18Onwards_Male_WithAsthma_AsAFractionOf_Count_Person_18OrMoreYears_Male,StdError_Count_Person_Years18Onwards_Male_WithAsthma
StdError_Count_Person_Years18Onwards_Female_WithAsthma_AsAFractionOf_Count_Person_18OrMoreYears_Female,StdError_Count_Person_Years18Onwards_Female_WithAsthma
StdError_Count_Person_YearsUpto18_Male_WithAsthma_AsAFractionOf_Count_Person_18OrLessYears_Male,StdError_Count_Person_YearsUpto18_Male_WithAsthma
StdError_Count_Person_YearsUpto18_Female_WithAsthma_AsAFractionOf_Count_Person_18OrLessYears_Female,StdError_Count_Person_YearsUpto18_Female_WithAsthma
StdError_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma_AsAFractionOf_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative,StdError_Count_Person_Years18Onwards_EducationalAttainmentNotHighSchoolGraduateOrAlternative_WithAsthma
StdError_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma_AsAFractionOf_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative,StdError_Count_Person_Years18Onwards_EducationalAttainmentHighSchoolGraduateGedOrAlternative_WithAsthma
StdError_Count_Person_Years18Onwards_EducationalAttainmentCollegeGraduate_WithAsthma_AsAFractionOf_Count_Person_Years18Onwards_EducationalAttainmentCollegeGraduate,StdError_Count_Person_Years18Onwards_EducationalAttainmentCollegeGraduate_WithAsthma
StdError_Count_Person_NotHispanicOrLatino_WithAsthma_TwoOrMoreRaces_AsAFractionOf_Count_Person_NotHispanicOrLatino_TwoOrMoreRaces,StdError_Count_Person_NotHispanicOrLatino_WithAsthma_TwoOrMoreRaces
