key,prop,val,p1,v1,p2,v2,,,,,,,,,,,,,,
Código,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Referência,observationDate,{Data},,,,,,,,,,,,,,,,,,
Centros de Referência em Assistência Social (CRAS) com cofinanciamento do Ministério da Cidadania (Acumulado),value,{Number},populationType,CivicStructure,placeCategory,BRA_SocialAssistanceReferenceCenters,measuredProperty,cumulativeCount,financeType,Cofinancing,financePartner,MinistryOfCitizenship,,,observationPeriod,P1M,name,"""Social Assistance Reference Centers (CRAS) with co-financing from the Ministry of Citizenship (Accumulated)""",nameWithLanguage,"""Centros de Referência em Assistência Social (CRAS) com cofinanciamento do Ministério da Cidadania (Acumulado)@pt"""
Centros de Referência Especializados de Assistência Social (CREAS) com cofinanciamento do Ministério da Cidadania (Acumulado),value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,measuredProperty,cumulativeCount,financeType,Cofinancing,financePartner,MinistryOfCitizenship,,,observationPeriod,P1M,name,"""Specialized Reference Centers for Social Assistance (CREAS) with co-financing from the Ministry of Citizenship (Accumulated)""",nameWithLanguage,"""Centros de Referência Especializados de Assistência Social (CREAS) com cofinanciamento do Ministério da Cidadania (Acumulado)@pt"""
Centros Dia com cofinanciamento do Ministério da Cidadania,value,{Number},populationType,CivicStructure,placeCategory,DayCenters,measuredProperty,cumulativeCount,financeType,Cofinancing,financePartner,MinistryOfCitizenship,,,observationPeriod,P1M,name,"""Day Centers with co-financing from the Ministry of Citizenship""",nameWithLanguage,"""Centros Dia com cofinanciamento do Ministério da Cidadania@pt"""
Centros POP com cofinanciamento do Ministério da Cidadania (Acumulado),value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCenterForHomeless,measuredProperty,cumulativeCount,financeType,Cofinancing,financePartner,MinistryOfCitizenship,,,observationPeriod,P1M,name,"""POP centers with co-financing from the Ministry of Citizenship (Accumulated)""",nameWithLanguage,"""Centros POP com cofinanciamento do Ministério da Cidadania (Acumulado)@pt"""
Quantidade de Centros POP que completaram o preenchimento o Censo SUAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCenterForHomeless,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,observationPeriod,P1Y,name,"""Number of POP Centers that completed the SUAS Census""",nameWithLanguage,"""Quantidade de Centros POP que completaram o preenchimento o Censo SUAS@pt"""
Quantidade de CRAS que completaram o preenchimento do Censo SUAS municipal,value,{Number},populationType,CivicStructure,placeCategory,BRA_SocialAssistanceReferenceCenters,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,,,observationPeriod,P1Y,name,"""Number of CRAS that completed the municipal SUAS Census""",nameWithLanguage,"""Quantidade de CRAS que completaram o preenchimento do Censo SUAS municipal@pt"""
Quantidade de CREAS municipais que completaram o preenchimento do Censo SUAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,brazilCenterLevel,MunicipalLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of municipal CREAS that completed the SUAS Census""",nameWithLanguage,"""Quantidade de CREAS municipais que completaram o preenchimento do Censo SUAS@pt"""
Quantidade de CREAS regionais que completaram o preenchimento do Censo SUAS,value,{Number},populationType,CivicStructure,placeCategory,BRA_SpecializedReferenceCentersForSocialAssistance,brazilCenterLevel,RegionalLevel,censusStatus,CompletedCensus,brazilSystemType,BRA_UnifiedSocialAssistanceSystem,,,observationPeriod,P1Y,name,"""Number of regional CREAS that completed the SUAS Census""",nameWithLanguage,"""Quantidade de CREAS regionais que completaram o preenchimento do Censo SUAS@pt"""
