key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
RATE_PER_1000_N,value,{Number},populationType,Person,measuredProperty,fertilityRate,ageGroupClassification,Adolescents,scalingFactor,1000,measurementDenominator,-measuredProperty
DIM_TIME,observationDate,{Number},,,,,,,,,,
Y10T14,age,[10 14 Years],,,,,,,,,,
Y15T19,age,[15 19 Years],,,,,,,,,,
FEMALE,gender,Female,,,,,,,,,,
DIM_GEO_CODE_M49: 956,#ignore,ignore,,,,,,,,,,
DIM_GEO_CODE_M49: 955,#ignore,ignore,,,,,,,,,,
France,observationAbout,dcid:country/FRA,,,,,,,,,,
Gabon,observationAbout,dcid:country/GAB,,,,,,,,,,
Georgia,observationAbout,dcid:country/GEO,,,,,,,,,,
Gambia,observationAbout,dcid:country/GMB,,,,,,,,,,
Germany,observationAbout,dcid:country/DEU,,,,,,,,,,
Greece,observationAbout,dcid:country/GRC,,,,,,,,,,
Guatemala,observationAbout,dcid:country/GTM,,,,,,,,,,
Guinea,observationAbout,dcid:country/GIN,,,,,,,,,,
Guyana,observationAbout,dcid:country/GUY,,,,,,,,,,
Haiti,observationAbout,dcid:country/HTI,,,,,,,,,,
Honduras,observationAbout,dcid:country/HND,,,,,,,,,,
"China, Hong Kong SAR",observationAbout,dcid:country/HKG,,,,,,,,,,
Hungary,observationAbout,dcid:country/HUN,,,,,,,,,,
Iceland,observationAbout,dcid:country/ISL,,,,,,,,,,
India,observationAbout,dcid:country/IND,,,,,,,,,,
Iraq,observationAbout,dcid:country/IRQ,,,,,,,,,,
Ireland,observationAbout,dcid:country/IRL,,,,,,,,,,
Israel,observationAbout,dcid:country/ISR,,,,,,,,,,
Italy,observationAbout,dcid:country/ITA,,,,,,,,,,
Côte d'Ivoire,observationAbout,dcid:country/CIV,,,,,,,,,,
Jamaica,observationAbout,dcid:country/JAM,,,,,,,,,,
Japan,observationAbout,dcid:country/JPN,,,,,,,,,,
Kazakhstan,observationAbout,dcid:country/KAZ,,,,,,,,,,
Kenya,observationAbout,dcid:country/KEN,,,,,,,,,,
Republic of Korea,observationAbout,dcid:country/KOR,,,,,,,,,,
Kyrgyzstan,observationAbout,dcid:country/KGZ,,,,,,,,,,
Latin America and the Caribbean,observationAbout,dcid:LatinAmericaAndCaribbean,,,,,,,,,,
Latvia,observationAbout,dcid:country/LVA,,,,,,,,,,
Liberia,observationAbout,dcid:country/LBR,,,,,,,,,,
Landlocked developing countries,observationAbout,dcid:undata-geo/G00403000,,,,,,,,,,
Lithuania,observationAbout,dcid:country/LTU,,,,,,,,,,
Luxembourg,observationAbout,dcid:country/LUX,,,,,,,,,,
"China, Macao SAR",observationAbout,dcid:country/MAC,,,,,,,,,,
Madagascar,observationAbout,dcid:country/MDG,,,,,,,,,,
Malaysia,observationAbout,dcid:country/MYS,,,,,,,,,,
Maldives,observationAbout,dcid:country/MDV,,,,,,,,,,
Malta,observationAbout,dcid:country/MLT,,,,,,,,,,
Mauritius,observationAbout,dcid:country/MUS,,,,,,,,,,
Mexico,observationAbout,dcid:country/MEX,,,,,,,,,,
Chile,observationAbout,dcid:country/CHL,,,,,,,,,,
Colombia,observationAbout,dcid:country/COL,,,,,,,,,,
Congo,observationAbout,dcid:country/COG,,,,,,,,,,
Democratic Republic of the Congo,observationAbout,dcid:country/COD,,,,,,,,,,
Costa Rica,observationAbout,dcid:country/CRI,,,,,,,,,,
Croatia,observationAbout,dcid:country/HRV,,,,,,,,,,
Cuba,observationAbout,dcid:country/CUB,,,,,,,,,,
Cyprus,observationAbout,dcid:country/CYP,,,,,,,,,,
Least developed countries,observationAbout,dcid:undata-geo/G00404000,,,,,,,,,,
Sub-Saharan Africa,observationAbout,dcid:SubSaharanAfrica,,,,,,,,,,
Czechia,observationAbout,dcid:country/CZE,,,,,,,,,,
Benin,observationAbout,dcid:country/BEN,,,,,,,,,,
Denmark,observationAbout,dcid:country/DNK,,,,,,,,,,
Dominica,observationAbout,dcid:country/DMA,,,,,,,,,,
Dominican Republic,observationAbout,dcid:country/DOM,,,,,,,,,,
Ecuador,observationAbout,dcid:country/ECU,,,,,,,,,,
El Salvador,observationAbout,dcid:country/SLV,,,,,,,,,,
Ethiopia,observationAbout,dcid:country/ETH,,,,,,,,,,
Estonia,observationAbout,dcid:country/EST,,,,,,,,,,
Fiji,observationAbout,dcid:country/FJI,,,,,,,,,,
Finland,observationAbout,dcid:country/FIN,,,,,,,,,,
"occupied Palestinian territory, including east Jerusalem",observationAbout,dcid:country/PSE,,,,,,,,,,
Ghana,observationAbout,dcid:country/GHA,,,,,,,,,,
Indonesia,observationAbout,dcid:country/IDN,,,,,,,,,,
Afghanistan,observationAbout,dcid:country/AFG,,,,,,,,,,
Albania,observationAbout,dcid:country/ALB,,,,,,,,,,
Oceania,observationAbout,dcid:oceania,,,,,,,,,,
Algeria,observationAbout,dcid:country/DZA,,,,,,,,,,
Northern Africa,observationAbout,dcid:NorthernAfrica,,,,,,,,,,
Andorra,observationAbout,dcid:country/AND,,,,,,,,,,
Northern America,observationAbout,dcid:undata-geo/G00136000,,,,,,,,,,
Angola,observationAbout,dcid:country/AGO,,,,,,,,,,
Eastern Asia,observationAbout,dcid:EasternAsia,,,,,,,,,,
Argentina,observationAbout,dcid:country/ARG,,,,,,,,,,
Southern Asia,observationAbout,dcid:SouthernAsia,,,,,,,,,,
South-eastern Asia,observationAbout,dcid:SouthEasternAsia,,,,,,,,,,
Australia,observationAbout,dcid:country/AUS,,,,,,,,,,
Austria,observationAbout,dcid:country/AUT,,,,,,,,,,
Bahamas,observationAbout,dcid:country/BHS,,,,,,,,,,
Bahrain,observationAbout,dcid:country/BHR,,,,,,,,,,
Bangladesh,observationAbout,dcid:country/BGD,,,,,,,,,,
Barbados,observationAbout,dcid:country/BRB,,,,,,,,,,
Australia and New Zealand,observationAbout,dcid:AustraliaAndNewZealand,,,,,,,,,,
Belgium,observationAbout,dcid:country/BEL,,,,,,,,,,
Central and Southern Asia,observationAbout,dcid:undata-geo/G00116000,,,,,,,,,,
Bolivia (Plurinational State of),observationAbout,dcid:country/BOL,,,,,,,,,,
Bosnia and Herzegovina,observationAbout,dcid:country/BIH,,,,,,,,,,
Brazil,observationAbout,dcid:country/BRA,,,,,,,,,,
Belize,observationAbout,dcid:country/BLZ,,,,,,,,,,
Bulgaria,observationAbout,dcid:country/BGR,,,,,,,,,,
Myanmar,observationAbout,dcid:country/MMR,,,,,,,,,,
Belarus,observationAbout,dcid:country/BLR,,,,,,,,,,
Cambodia,observationAbout,dcid:country/KHM,,,,,,,,,,
Cameroon,observationAbout,dcid:country/CMR,,,,,,,,,,
Canada,observationAbout,dcid:country/CAN,,,,,,,,,,
Central Asia,observationAbout,dcid:CentralAsia,,,,,,,,,,
Sri Lanka,observationAbout,dcid:country/LKA,,,,,,,,,,
Europe,observationAbout,dcid:europe,,,,,,,,,,
Comoros,observationAbout,dcid:country/COM,,,,,,,,,,
Seychelles,observationAbout,dcid:country/SYC,,,,,,,,,,
Sierra Leone,observationAbout,dcid:country/SLE,,,,,,,,,,
Singapore,observationAbout,dcid:country/SGP,,,,,,,,,,
Slovakia,observationAbout,dcid:country/SVK,,,,,,,,,,
Viet Nam,observationAbout,dcid:country/VNM,,,,,,,,,,
Slovenia,observationAbout,dcid:country/SVN,,,,,,,,,,
Somalia,observationAbout,dcid:country/SOM,,,,,,,,,,
South Africa,observationAbout,dcid:country/ZAF,,,,,,,,,,
Zimbabwe,observationAbout,dcid:country/ZWE,,,,,,,,,,
Small Island Developing States,observationAbout,dcid:undata-geo/G00405000,,,,,,,,,,
Spain,observationAbout,dcid:country/ESP,,,,,,,,,,
Sudan,observationAbout,dcid:country/SDN,,,,,,,,,,
Suriname,observationAbout,dcid:country/SUR,,,,,,,,,,
Northern Africa and Western Asia,observationAbout,dcid:undata-geo/G00103000,,,,,,,,,,
Eswatini,observationAbout,dcid:country/SWZ,,,,,,,,,,
Sweden,observationAbout,dcid:country/SWE,,,,,,,,,,
Eastern and South-Eastern Asia,observationAbout,dcid:undata-geo/G00122000,,,,,,,,,,
Switzerland,observationAbout,dcid:country/CHE,,,,,,,,,,
Thailand,observationAbout,dcid:country/THA,,,,,,,,,,
Togo,observationAbout,dcid:country/TGO,,,,,,,,,,
Trinidad and Tobago,observationAbout,dcid:country/TTO,,,,,,,,,,
Tunisia,observationAbout,dcid:country/TUN,,,,,,,,,,
