name,geoId
Alameda County,06001
Bronx,36005
Contra Costa County,06013
Cook County,17031
Cuyahoga County,39035
Dallas County,48113
Duval County,12031
El Paso County,08041
Fairfax County,51059
Fulton County,13121
Harris County,48201
Hillsborough County,12057
Honolulu County,15003
Jefferson County,08059
Kern County,06029
King County,53033
Los Angeles County,06037
Maricopa County,04013
Mecklenberg County,37119
Miami-Dade County,12086
Orange County,06059
Queens,36081
Riverside County,06065
San Bernardino County,06071
San Diego County,06073
San Francisco County,06075
Santa Clara County,06085
Worcester County,24047
