observationDate,observationAbout,value,variableMeasured
2014,country/USA,2711675,dcid:Count_Student_AllStudents_AllInstitution_Adjusted
2014,country/USA,1353752,dcid:Count_Student_AllStudents_AllInstitution_Received
2014,country/USA,49.9,dcid:Percent_Student_AllStudents_AllInstitution_Graduation
2014,country/USA,1755725,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Adjusted
2014,country/USA,794919,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Received
2014,country/USA,45.3,dcid:Percent_Student_AllStudents_InstitutionControlPublic_AllInstitution_Graduation
2014,country/USA,551722,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2014,country/USA,357451,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Received
2014,country/USA,64.8,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2014,country/USA,404228,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2014,country/USA,201382,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Received
2014,country/USA,49.8,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2014,country/USA,1297147,dcid:Count_Student_PellGrant_AllInstitution_Adjusted
2014,country/USA,533224,dcid:Count_Student_PellGrant_AllInstitution_Received
2014,country/USA,41.1,dcid:Percent_Student_PellGrant_AllInstitution_Graduation
2014,country/USA,791430,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Adjusted
2014,country/USA,276683,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Received
2014,country/USA,35,dcid:Percent_Student_PellGrant_InstitutionControlPublic_AllInstitution_Graduation
2014,country/USA,202504,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2014,country/USA,111136,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2014,country/USA,54.9,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2014,country/USA,303213,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2014,country/USA,145405,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2014,country/USA,48,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2014,country/USA,381354,dcid:Count_Student_SubsidizedLoan_AllInstitution_Adjusted
2014,country/USA,228892,dcid:Count_Student_SubsidizedLoan_AllInstitution_Received
2014,country/USA,60,dcid:Percent_Student_SubsidizedLoan_AllInstitution_Graduation
2014,country/USA,211089,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Adjusted
2014,country/USA,115238,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Received
2014,country/USA,54.6,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Graduation
2014,country/USA,131131,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2014,country/USA,89083,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Received
2014,country/USA,67.9,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2014,country/USA,39134,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2014,country/USA,24571,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Received
2014,country/USA,62.8,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2014,country/USA,1033174,dcid:Count_Student_AllInstitution_Adjusted
2014,country/USA,591636,dcid:Count_Student_AllInstitution_Received
2014,country/USA,57.3,dcid:Percent_Student_AllInstitution_Graduation
2014,country/USA,753206,dcid:Count_Student_InstitutionControlPublic_AllInstitution_Adjusted
2014,country/USA,402998,dcid:Count_Student_InstitutionControlPublic_AllInstitution_Received
2014,country/USA,53.5,dcid:Percent_Student_InstitutionControlPublic_AllInstitution_Graduation
