National Center for Education Statistics,,,,,,,,,,,,,,,,
"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2011 and 2014",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions,,,,,,,,,,,,,,,,
All students,,"2,711,675","1,353,752",49.9,,"1,755,725","794,919",45.3,,"551,722","357,451",64.8,,"404,228","201,382",49.8
Received Pell Grant,,"1,297,147","533,224",41.1,,"791,430","276,683",35.0,,"202,504","111,136",54.9,,"303,213","145,405",48.0
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"381,354","228,892",60.0,,"211,089","115,238",54.6,,"131,131","89,083",67.9,,"39,134","24,571",62.8
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"1,033,174","591,636",57.3,,"753,206","402,998",53.5,,"218,087","157,232",72.1,,"61,881","31,406",50.8
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2011),,,,,,,,,,,,,,,,
All students,,"1,770,387","982,305",55.5,,"1,106,726","613,552",55.4,,"508,603","329,626",64.8,,"155,058","39,127",25.2
Received Pell Grant,,"726,631","304,303",41.9,,"433,499","188,668",43.5,,"173,449","87,703",50.6,,"119,683","27,932",23.3
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"322,114","198,892",61.7,,"179,836","106,135",59.0,,"129,017","87,497",67.8,,"13,261","5,260",39.7
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"721,642","479,110",66.4,,"493,391","318,749",64.6,,"206,137","154,426",74.9,,"22,114","5,935",26.8
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year 2011),,,,,,,,,,,,,,,,
All students,,"1,474,513","896,178",60.8,,"951,267","570,154",59.9,,"468,435","313,312",66.9,,"54,811","12,712",23.2
Received Pell Grant,,"529,503","254,651",48.1,,"342,482","167,886",49.0,,"147,068","78,867",53.6,,"39,953","7,898",19.8
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"299,323","189,764",63.4,,"169,646","102,895",60.7,,"123,529","84,567",68.5,,"6,148","2,302",37.4
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"645,687","451,763",70.0,,"439,139","299,373",68.2,,"197,838","149,878",75.8,,"8,710","2,512",28.8
,,,,,,,,,,,,,,,,
"4-year other than bachelor's cohort (cohort
     year 2011)",,,,,,,,,,,,,,,,
All students,,"295,874","86,127",29.1,,"155,459","43,398",27.9,,"40,168","16,314",40.6,,"100,247","26,415",26.3
Received Pell Grant,,"197,128","49,652",25.2,,"91,017","20,782",22.8,,"26,381","8,836",33.5,,"79,730","20,034",25.1
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"22,791","9,128",40.1,,"10,190","3,240",31.8,,"5,488","2,930",53.4,,"7,113","2,958",41.6
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"75,955","27,347",36.0,,"54,252","19,376",35.7,,"8,299","4,548",54.8,,"13,404","3,423",25.5
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2014),,,,,,,,,,,,,,,,
