Year,StatVar,Quantity
2013,Count_CriminalIncidents_IsHateCrime,5928
2013,Count_CriminalIncidents_IsHateCrime_VictimTypePerson,4696
2013,Count_CriminalIncidents_IsHateCrime_VictimTypeBusiness,298
2013,Count_CriminalIncidents_IsHateCrime_VictimTypeGovernment,177
2013,Count_CriminalIncidents_IsHateCrime_VictimTypeReligiousOrganization,171
2013,Count_CriminalIncidents_IsHateCrime_VictimTypeSociety,64
2013,Count_CriminalIncidents_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,522
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime,5922
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypePerson,4690
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypeBusiness,298
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypeGovernment,177
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypeReligiousOrganization,171
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypeSociety,64
2013,Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,522
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime,2871
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypePerson,2402
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeBusiness,145
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeGovernment,107
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeReligiousOrganization,10
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeSociety,43
2013,Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,164
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime,1031
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypePerson,450
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeBusiness,87
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeGovernment,44
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeReligiousOrganization,158
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeSociety,5
2013,Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,287
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime,1233
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypePerson,1154
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypeBusiness,25
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypeGovernment,12
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypeReligiousOrganization,1
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypeSociety,4
2013,Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,37
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime,655
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypePerson,572
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypeBusiness,35
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypeGovernment,13
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypeReligiousOrganization,2
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypeSociety,5
2013,Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,28
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime,83
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypePerson,69
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypeBusiness,4
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypeGovernment,1
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypeReligiousOrganization,0
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypeSociety,6
2013,Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,3
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime,18
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypePerson,15
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypeBusiness,1
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypeGovernment,0
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypeReligiousOrganization,0
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypeSociety,1
2013,Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,1
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime,31
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypePerson,28
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeBusiness,1
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeGovernment,0
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeReligiousOrganization,0
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeSociety,0
2013,Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,2
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime,6
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypePerson,6
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeBusiness,0
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeGovernment,0
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeReligiousOrganization,0
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeSociety,0
2013,Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeOtherVictimTypeOrUnknownVictimTypeOrMultipleVictimType,0
