Year,Column,StatVarID
2021,Estimate!!Total!!Total population 5 years and over,dcid:Count_Person_5OrMoreYears
2021,Margin of Error!!Total!!Total population 5 years and over,dcid:MarginOfError_Count_Person_5OrMoreYears
2021,Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years,dcid:Count_Person_5To17Years
2021,Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years,dcid:MarginOfError_Count_Person_5To17Years
2021,Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years,dcid:Count_Person_18To64Years
2021,Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years,dcid:MarginOfError_Count_Person_18To64Years
2021,Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over,dcid:Count_Person_65OrMoreYears
2021,Margin of Error!!Total!!Total population 5 years and over!!AGE!!65 years and over,dcid:MarginOfError_Count_Person_65OrMoreYears
2021,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native,dcid:Count_Person_Native
2021,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native,dcid:MarginOfError_Count_Person_5OrMoreYears_Native
2021,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born,dcid:Count_Person_5OrMoreYears_ForeignBorn
2021,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born,dcid:MarginOfError_Count_Person_5OrMoreYears_ForeignBorn
2021,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen,dcid:Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn
2021,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen,dcid:MarginOfError_Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn
2021,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen,dcid:Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn
2021,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen,dcid:MarginOfError_Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn
2021,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined,dcid:Count_Person_5OrMoreYears_PovertyStatusDetermined
