National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 02. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2016 and 2019",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions (cohort years 2016 and 2019),,,,,,,,,,,,,,,,
All students,,"2,566,728","1,399,815",54.5,,"1,783,628","897,906",50.3,,"519,745","351,267",67.6,,"263,355","150,642",57.2
Received Pell Grant,,"1,090,307","489,902",44.9,,"740,109","296,225",40,,"165,712","90,440",54.6,,"184,486","103,237",56
"Received Direct Subsidized Loan, but not a     Pell Grant",,"353,536","221,499",62.7,,"205,976","120,181",58.3,,"121,734","84,188",69.2,,"25,826","17,130",66.3
Received neither a Pell Grant or a Direct     Subsidized Loan,,"1,122,885","688,414",61.3,,"837,543","481,500",57.5,,"232,299","176,639",76,,"53,043","30,275",57.1
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2016),,,,,,,,,,,,,,,,
All students,,"1,753,075","1,072,122",61.2,,"1,198,970","709,528",59.2,,"501,256","340,118",67.9,,"52,849","22,476",42.5
Received Pell Grant,,"618,858","304,509",49.2,,"434,043","208,356",48,,"152,507","82,819",54.3,,"32,308","13,334",41.3
"Received Direct Subsidized Loan, but not a     Pell Grant",,"307,494","198,663",64.6,,"181,056","112,314",62,,"120,323","83,132",69.1,,"6,115","3,217",52.6
Received neither a Pell Grant or a Direct     Subsidized Loan,,"826,723","568,950",68.8,,"583,871","388,858",66.6,,"228,426","174,167",76.2,,"14,426","5,925",41.1
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year     2016),,,,,,,,,,,,,,,,
All students,,"1,521,134","988,913",65,,"1,021,180","651,671",63.8,,"476,792","329,179",69,,"23,162","8,063",34.8
Received Pell Grant,,"495,449","263,406",53.2,,"343,990","182,213",53,,"138,490","77,197",55.7,,"12,969","3,996",30.8
"Received Direct Subsidized Loan, but not a     Pell Grant",,"289,709","190,666",65.8,,"170,674","108,555",63.6,,"116,065","80,773",69.6,,"2,970","1,338",45.1
Received neither a Pell Grant or a Direct     Subsidized Loan,,"735,976","534,841",72.7,,"506,516","360,903",71.3,,"222,237","171,209",77,,"7,223","2,729",37.8
,,,,,,,,,,,,,,,,
4-year other than bachelor's cohort (cohort    year 2016),,,,,,,,,,,,,,,,
All students,,"231,941","83,209",35.9,,"177,790","57,857",32.5,,"24,464","10,939",44.7,,"29,687","14,413",48.5
Received Pell Grant,,"123,409","41,103",33.3,,"90,053","26,143",29,,"14,017","5,622",40.1,,"19,339","9,338",48.3
"Received Direct Subsidized Loan, but not a     Pell Grant",,"17,785","7,997",45,,"10,382","3,759",36.2,,"4,258","2,359",55.4,,"3,145","1,879",59.7
Received neither a Pell Grant or a Direct     Subsidized Loan,,"90,747","34,109",37.6,,"77,355","27,955",36.1,,"6,189","2,958",47.8,,"7,203","3,196",44.4
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2019),,,,,,,,,,,,,,,,
