observationDate,observationAbout,value,variableMeasured
2019,country/USA,2566728,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Adjusted
2019,country/USA,1399815,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Received
2019,country/USA,54.5,dcid:Percent_Student_AllStudents_InstitutionAll_AllInstitution_Graduation
2019,country/USA,1783628,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Adjusted
2019,country/USA,897906,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Received
2019,country/USA,50.3,dcid:Percent_Student_AllStudents_InstitutionControlPublic_AllInstitution_Graduation
2019,country/USA,519745,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2019,country/USA,351267,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Received
2019,country/USA,67.6,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2019,country/USA,263355,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2019,country/USA,150642,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Received
2019,country/USA,57.2,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2019,country/USA,1090307,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Adjusted
2019,country/USA,489902,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Received
2019,country/USA,44.9,dcid:Percent_Student_PellGrant_InstitutionAll_AllInstitution_Graduation
2019,country/USA,740109,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Adjusted
2019,country/USA,296225,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Received
2019,country/USA,40,dcid:Percent_Student_PellGrant_InstitutionControlPublic_AllInstitution_Graduation
2019,country/USA,165712,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2019,country/USA,90440,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2019,country/USA,54.6,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2019,country/USA,184486,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2019,country/USA,103237,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2019,country/USA,56,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2019,country/USA,353536,dcid:Count_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Adjusted
