key,,,,,,,,
GeoName,observationAbout,{Data},measuredProperty,amount,populationType,EconomicActivity,grossDomesticProductType,TaxesOnProductionAndImportsLessSubsidies
Description:All industry total,unit,USDollar,economicSector,AllIndustry,,,,
Description:Private industries,unit,USDollar,economicSector,PrivateSector,,,,
"Description:Agriculture, forestry, fishing and hunting",unit,USDollar,naics,NAICS/11,,,,
Description:Farms,unit,USDollar,naics,NAICS/111-112,,,,
"Description:Forestry, fishing, and related activities",unit,USDollar,naics,NAICS/113-115,,,,
"Description:Mining, quarrying, and oil and gas extraction",unit,USDollar,naics,NAICS/21,,,,
Description:Oil and gas extraction,unit,USDollar,naics,NAICS/211,,,,
Description:Mining (except oil and gas),unit,USDollar,naics,NAICS/212,,,,
Description:Support activities for mining,unit,USDollar,naics,NAICS/213,,,,
Description:Utilities,unit,USDollar,naics,NAICS/22,,,,
Description:Construction,unit,USDollar,naics,NAICS/23,,,,
Description:Manufacturing,unit,USDollar,naics,NAICS/31-33,,,,
Description:Durable goods manufacturing,unit,USDollar,naics,NAICS/321-327-339,,,,
Description:Wood product manufacturing,unit,USDollar,naics,NAICS/321,,,,
Description:Nonmetallic mineral product manufacturing,unit,USDollar,naics,NAICS/327,,,,
Description:Primary metal manufacturing,unit,USDollar,naics,NAICS/331,,,,
Description:Fabricated metal product manufacturing,unit,USDollar,naics,NAICS/332,,,,
Description:Machinery manufacturing,unit,USDollar,naics,NAICS/333,,,,
Description:Computer and electronic product manufacturing,unit,USDollar,naics,NAICS/334,,,,
"Description:Electrical equipment, appliance, and component manufacturing",unit,USDollar,naics,NAICS/335,,,,
"Description:Motor vehicles, bodies and trailers, and parts manufacturing",unit,USDollar,naics,NAICS/3361-3363,,,,
Description:Other transportation equipment manufacturing,unit,USDollar,naics,NAICS/3364-3366-3369,,,,
Description:Furniture and related product manufacturing,unit,USDollar,naics,NAICS/337,,,,
Description:Miscellaneous manufacturing,unit,USDollar,naics,NAICS/339,,,,
Description:Nondurable goods manufacturing,unit,USDollar,naics,NAICS/311-316,,,,
