"place_name","dcid","placeId","wikidataId","name","alternateName","typeOf","containedInPlace"
"AD","country/AND","","","","","",""
"AL","country/ALB","","","","","",""
"AM","country/ARM","","","","","",""
"AT","country/AUT","","","","","",""
"AZ","country/AZE","","","","","",""
"BA","country/BIH","","","","","",""
"BE","country/BEL","","","","","",""
"BG","country/BGR","","","","","",""
"BY","country/BLR","","","","","",""
"CH","country/CHE","","","","","",""
"CY","country/CYP","","","","","",""
"CZ","country/CZE","","","","","",""
"DE","country/DEU","","","","","",""
"DK","country/DNK","","","","","",""
"EE","country/EST","","","","","",""
"EL","country/GRC","","","","","",""
"ES","country/ESP","","","","","",""
"FI","country/FIN","","","","","",""
"FR","country/FRA","","","","","",""
"FX","country/FXX","","","","","",""
"GE","country/GEO","","","","","",""
"HR","country/HRV","","","","","",""
"HU","country/HUN","","","","","",""
"IE","country/IRL","","","","","",""
"IS","country/ISL","","","","","",""
"IT","country/ITA","","","","","",""
"LI","country/LIE","","","","","",""
"LT","country/LTU","","","","","",""
"LU","country/LUX","","","","","",""
"LV","country/LVA","","","","","",""
"MC","country/MCO","","","","","",""
"MD","country/MDA","","","","","",""
"ME","country/MNE","","","","","",""
"MK","country/MKD","","","","","",""
"MT","country/MLT","","","","","",""
"NL","country/NLD","","","","","",""
"NO","country/NOR","","","","","",""
"PL","country/POL","","","","","",""
"PT","country/PRT","","","","","",""
"RO","country/ROU","","","","","",""
"RS","country/SRB","","","","","",""
"RU","country/RUS","","","","","",""
"SE","country/SWE","","","","","",""
"SI","country/SVN","","","","","",""
"SK","country/SVK","","","","","",""
"SM","country/SMR","","","","","",""
"TR","country/TUR","","","","","",""
"UA","country/UKR","","","","","",""
"UK","country/GBR","","","","","",""
"XK","country/XKX","","","","","",""
