StatisticalVariable,ISO3166Alpha3,Year,Value,unit
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2002,16.2495403290,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2003,17.4907379150,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2004,20.9270858765,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2005,24.4465122223,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2006,28.4166622162,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2007,31.8401851654,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2008,38.7004928589,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2009,42.3045082092,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2010,45.5877494812,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2011,51.5532569885,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2012,52.2185096741,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2013,55.9675483704,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2014,60.1127586365,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2015,60.0888137817,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2016,61.4512863159,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/AFG,2017,67.1226501465,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2000,61.3028907776,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2001,66.5047302246,USDollar
dcs:WorldBank/SH_XPD_CHEX_PC_CD,dcid:country/DZA,2002,66.1726684570,USDollar
