StatisticalVariable,ISO3166Alpha3,Year,Value
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1963,106871.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1964,107406.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1965,107973.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1966,108594.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1967,109332.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1968,110025.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1969,110613.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1970,111214.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1971,111739.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1972,112240.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1973,112468.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1974,112448.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1975,112113.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1976,111293.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1977,109863.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1978,107907.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1979,105387.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1980,102335.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1981,98784.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1982,94845.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1983,90824.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1984,86905.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1985,83260.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1986,80192.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1987,77818.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1988,76242.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1989,75505.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1990,75591.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1991,76527.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1992,78068.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1993,79961.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1994,82028.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1995,84102.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1996,85980.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1997,87552.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1998,88705.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,1999,89438.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2000,89703.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2001,89479.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2002,88842.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2003,87916.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2004,86723.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2005,85285.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2006,83559.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2007,81572.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2008,79334.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2009,76979.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2010,74524.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2011,71996.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2012,69517.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2013,67069.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2014,64829.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2015,62701.0000000000
dcs:WorldBank/SH_DTH_IMRT,dcid:country/AFG,2016,60766.0000000000
