StatisticalVariable,ISO3166Alpha3,Year,Value,scalingFactor
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1962,243.6000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1963,239.3000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1964,235.1000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1965,230.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1966,226.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1967,222.6000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1968,218.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1969,214.6000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1970,210.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1971,206.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1972,202.6000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1973,198.4000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1974,194.2000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1975,190.2000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1976,185.9000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1977,181.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1978,177.5000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1979,172.9000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1980,168.4000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1981,164.0000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1982,159.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1983,155.5000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1984,151.2000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1985,146.9000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1986,142.7000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1987,138.4000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1988,134.2000000000,1000
dcs:WorldBank/SP_DYN_IMRT_MA_IN,dcid:country/AFG,1989,130.2000000000,1000
