StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod,scalingFactor
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AFG,2013,10.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AFG,2018,6.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ALB,2000,12.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ALB,2005,7.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ALB,2009,11.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ALB,2017,1.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DZA,1992,7.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DZA,2000,3.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DZA,2002,10.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DZA,2006,4.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DZA,2012,4.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AGO,1996,7.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AGO,2015,5.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ARM,2000,2.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ARM,2005,5.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ARM,2010,4.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/ARM,2016,4.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AZE,2000,9.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AZE,2006,7.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/AZE,2013,4.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,1997,22.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,2000,13.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,2004,15.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,2007,18.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,2011,16.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BGD,2014,15.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BRB,2012,8.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BLR,2005,2.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BLZ,2006,2.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BLZ,2011,3.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BLZ,2015,2.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BEN,2001,10.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BEN,2014,5.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BEN,2018,5.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BTN,1999,3.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BTN,2008,4.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BTN,2010,6.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BOL,1998,1.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BOL,2003,1.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BOL,2008,2.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BOL,2012,2.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BOL,2016,2.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BIH,2000,8.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BIH,2006,3.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BIH,2012,2.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BWA,2000,6.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BWA,2007,7.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BRA,1989,2.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BRA,1996,3.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BRA,2007,2.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,1993,15.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,1999,17.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2003,21.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2006,26.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2010,16.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2011,11.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2012,12.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2014,9.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2016,8.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2017,9.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BFA,2018,9.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BDI,2000,9.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BDI,2010,6.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/BDI,2016,5.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KHM,2000,18.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KHM,2005,8.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KHM,2008,9.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KHM,2010,11.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/KHM,2014,10.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CMR,1991,4.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CMR,2004,5.8000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CMR,2006,8.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CMR,2011,6.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CMR,2014,5.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CAF,2000,11.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CAF,2006,13.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CAF,2010,8.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CAF,2012,8.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/TCD,1997,17.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/TCD,2000,13.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/TCD,2004,17.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/TCD,2010,17.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/TCD,2015,14.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COL,1995,1.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COL,2000,1.1000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COL,2004,1.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COL,2010,0.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COL,2016,1.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COM,2000,14.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COM,2012,11.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COD,2001,17.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COD,2007,11.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COD,2010,9.5000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COD,2013,9.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COG,2005,8.4000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COG,2011,6.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/COG,2014,8.7000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CIV,1998,7.0000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CIV,2006,8.9000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CIV,2012,9.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CIV,2016,6.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/CZE,2001,5.2000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DJI,2002,20.3000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DJI,2012,22.6000000000,JointChildMalnutritionEstimate,100
dcs:WorldBank/SH_STA_WAST_MA_ZS,dcid:country/DOM,1991,2.2000000000,JointChildMalnutritionEstimate,100
