StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod,sourceScalingFactor
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2000,0.3480000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2005,0.3270000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2010,0.3120000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2011,0.3070000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2012,0.3020000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2013,0.2980000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2014,0.2950000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2015,0.2910000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ALB,2016,0.2870000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2000,0.1660000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2005,0.1550000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2010,0.1520000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2011,0.1520000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2012,0.1530000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2013,0.1530000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2014,0.1540000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2015,0.1550000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/DZA,2016,0.1560000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2000,0.3740000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2005,0.3600000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2010,0.3480000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2011,0.3450000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2012,0.3420000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2013,0.3410000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2014,0.3390000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2015,0.3370000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AND,2016,0.3350000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2000,0.4140000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2005,0.3370000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2010,0.2750000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2011,0.2630000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2012,0.2540000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2013,0.2440000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2014,0.2350000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2015,0.2250000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARG,2016,0.2180000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2000,0.3180000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2005,0.3030000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2010,0.2930000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2011,0.2870000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2012,0.2750000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2013,0.2650000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2014,0.2550000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2015,0.2450000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/ARM,2016,0.2410000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2000,0.2450000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2005,0.2090000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2010,0.1780000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2011,0.1720000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2012,0.1670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2013,0.1620000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2014,0.1570000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2015,0.1520000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUS,2016,0.1470000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2000,0.4910000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2005,0.4190000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2010,0.3570000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2011,0.3460000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2012,0.3360000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2013,0.3240000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2014,0.3140000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2015,0.3060000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AUT,2016,0.2960000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2000,0.2670000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2005,0.2470000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2010,0.2290000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2011,0.2240000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2012,0.2220000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2013,0.2180000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2014,0.2150000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2015,0.2130000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/AZE,2016,0.2080000000,dcs:AgeAdjusted,100.0000000000
dcs:WorldBank/SH_PRV_SMOK,dcid:country/BHS,2000,0.1060000000,dcs:AgeAdjusted,100.0000000000
