StatisticalVariable,ISO3166Alpha3,Year,Value,measurementMethod
dcid:Count_Person_InLaborForce,dcid:country/AFG,1990,3049464.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1991,3282558.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1992,3591020.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1993,3930041.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1994,4248904.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1995,4520584.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1996,4672419.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1997,4760554.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1998,4823415.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,1999,4906827.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2000,5037884.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2001,5265763.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2002,5554075.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2003,5875424.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2004,6193483.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2005,6485734.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2006,6633635.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2007,6747873.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2008,6854807.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2009,6988855.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2010,7173385.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2011,7499332.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2012,7891605.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2013,8307325.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2014,8741565.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2015,9176450.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2016,9566712.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2017,9947922.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2018,10334090.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/AFG,2019,10699797.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1990,1404177.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1991,1421315.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1992,1412543.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1993,1387992.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1994,1364534.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1995,1336162.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1996,1331113.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1997,1345962.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1998,1340278.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,1999,1330854.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2000,1326457.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2001,1313708.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2002,1312904.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2003,1300008.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2004,1286360.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2005,1271718.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2006,1260246.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2007,1247349.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2008,1234332.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2009,1226444.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2010,1225905.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2011,1255187.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2012,1286424.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2013,1213692.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2014,1235799.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2015,1289562.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2016,1302836.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2017,1316869.0000000000,dcs:InternationalLaborOrganization
dcid:Count_Person_InLaborForce,dcid:country/ALB,2018,1318022.0000000000,dcs:InternationalLaborOrganization
