StatisticalVariable,ISO3166Alpha3,Year,Value,sourceScalingFactor
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1990,0.1565550536,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1991,0.1561574845,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1992,0.1553842641,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1993,0.1542882123,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1994,0.1534800504,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1995,0.1535781660,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1996,0.1520490778,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1997,0.1509044956,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1998,0.1502707107,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,1999,0.1499231581,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2000,0.1495564408,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2001,0.1506195778,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2002,0.1520136116,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2003,0.1535322387,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2004,0.1551301586,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2005,0.1568593470,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2006,0.1553422822,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2007,0.1540269060,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2008,0.1531649250,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2009,0.1529997403,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2010,0.1536697110,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2011,0.1570325197,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2012,0.1611402243,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2013,0.1695932204,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2014,0.1784825715,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2015,0.1878620817,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2016,0.1981767613,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2017,0.2089705770,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2018,0.2127219716,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/AFG,2019,0.2144706110,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1990,0.4148294695,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1991,0.4300798908,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1992,0.4386110724,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1993,0.4418483680,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1994,0.4450581664,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1995,0.4453217499,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1996,0.4398199101,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1997,0.4380383696,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1998,0.4297600945,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,1999,0.4214729790,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2000,0.4163843984,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2001,0.4144124874,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2002,0.4146860700,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2003,0.4164020529,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2004,0.4184761653,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2005,0.4203746428,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2006,0.4221953492,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2007,0.4236504779,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2008,0.4247544421,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2009,0.4160777011,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2010,0.4244505080,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2011,0.4240882036,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2012,0.4238820171,100.0000000000
dcs:WorldBank/SL_TLF_TOTL_FE_ZS,dcid:country/ALB,2013,0.4125099284,100.0000000000
