"extractionConfig.url","extractionConfig.locale.language","extractionConfig.locale.countryIso","extractionConfig.incentiveCategory","extractionConfig.url_stable_hash","incentive.purchaseType","incentive.redemptionType","incentive.name","incentive.providerName","incentive.maximumAmount.currencyCode","incentive.maximumAmount.units","incentive.perUnitAmount.amount.currencyCode","incentive.perUnitAmount.amount.units","incentive.perUnitAmount.unit","incentive.percentageOfCostsCovered","extractionConfig.locale.adminArea1","incentive.perUnitAmount.amount.nanos","incentive.taxWaiverType","incentive.equipmentType"
"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai","en","AE","INCENTIVE_CATEGORY_SOLAR","89c1bda37e75bff7","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","DEWA Shams Dubai","Dubai Electricity and Water Authority (DEWA)","","","","","","","","","",""
"https://re.gaf.am/index7kom.html","en","AM","INCENTIVE_CATEGORY_SOLAR","6b318efecfd6ca57","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_LOAN","German-Armenian Fund Promotion of Renewable Energies Program Green Loans","German-Armenian Fund","","","","","","","","","",""
"https://www.mission-solar.at/tirol","en","AT","INCENTIVE_CATEGORY_SOLAR","9e527eb0fb22eca0","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Land Tirol PV-Anlagen Förderung","Bundesland Tirol","EUR","5000","EUR","250","CREDIT_UNITS_KILOWATTS",0.5,"","","",""
"https://www.salzburg-ag.at/service/faq/strom/photovoltaik.html","en","AT","INCENTIVE_CATEGORY_SOLAR","a40924124677cfe6","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Salzburg AG erhöhter Einspeisetarif","Salzburg AG für Energie, Verkehr & Telekommunikation","","","","","","","","","",""
"https://www.tiwag.at/unternehmen/presse/pressemitteilungen/","en","AT","INCENTIVE_CATEGORY_SOLAR","e2d9edd33de50c02","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","TIWAG Speicherförderung","TIWAG-Tiroler Wasserkraft AG","","","","","","","","","",""
"https://www.energieinstitut.at/foerderkompass/landes-und-bundesfoerderungen-fuer-private/foerderung-photovoltaik-pv","en","AT","INCENTIVE_CATEGORY_SOLAR","885e78e47a11e38d","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","illwerke vkw Photovoltaik-Einspeisevergütung","illwerke vkw","","","","","","","Vorarlberg","","",""
"https://nectr.com.au/solar-government-rebates/","en","AU","INCENTIVE_CATEGORY_SOLAR","8cec2fc94771b768","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Small-Scale Technology Certificate System (STC)","Australian Government","","","","","","","","","",""
"https://www.alintaenergy.com.au/residential/solar/information","en","AU","INCENTIVE_CATEGORY_SOLAR","432bb0446c382800","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Alinta Energy Net Metering","Alinta Energy","","","","","","","","","",""
"https://www.energy.gov.au/rebate-type/loan","en","AU","INCENTIVE_CATEGORY_SOLAR","bd1135387a79879b","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Victorian Solar Homes Program","State Government of Victoria","AUD","1400","","","","","","","",""
"https://www.horizonpower.com.au/contractors-installers/connect-solar-battery-ev/solar-rebates/","en","AU","INCENTIVE_CATEGORY_SOLAR","7eb9f46552101dbb","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Horizon Power Buyback Bonus","Horizon Power","","","","","","","","","",""
"https://www.infrastructure.gov.au/territories-regions-cities/territories/indian_ocean/iot_bulletins/2020/A025-2020-renewed-solar-opportunities","en","AU","INCENTIVE_CATEGORY_SOLAR","374d31096b90aebf","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Indian Ocean Territories Renewable Energy Benefits Scheme Feed-in Tariff","Australian Government's Indian Ocean Territories (IOT) Power Service","","","AUD","","CREDIT_UNITS_KILOWATT_HOURS","","",500000000,"",""
"https://www.originenergy.com.au/solar/solar-and-battery-payment-plans/","en","AU","INCENTIVE_CATEGORY_SOLAR","b07d8c1da9494920","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Origin Solar Partner Plus Feed-in Tariff","Origin Energy","","","","","","","","","",""
