typeOf,dcid,location,observationAbout,purchaseType,incentiveCategory,incentiveCategoryStr,url,incentiveName,incentiveType,incentiveAmount,incentiveAmount1,provider,#input
FinancialIncentive,incentive/AE_.ae_3d67e8c37cd12151,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://u.ae/en/information-and-services/environment-and-energy/water-and-energy/types-of-energy-sources/solar-energy\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,,,\"DEWA\",input_files/financial_incentives_data.csv:2:17
FinancialIncentive,incentive/AE_.ae_3d67e8c37cd12151,\"United Arab Emirates\",dcid:country/ARE,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://u.ae/en/information-and-services/environment-and-energy/water-and-energy/types-of-energy-sources/solar-energy\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,,,\"DEWA\",input_files/financial_incentives_data.csv:2:1
FinancialIncentive,incentive/AE_.ae_3d67e8c37cd12151,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://u.ae/en/information-and-services/environment-and-energy/water-and-energy/types-of-energy-sources/solar-energy\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"DEWA\",input_files/financial_incentives_data.csv:2:12
FinancialIncentive,incentive/AE_dewa.gov.ae_3b50d69173cd0338,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:3:17
FinancialIncentive,incentive/AE_dewa.gov.ae_3b50d69173cd0338,\"United Arab Emirates\",dcid:country/ARE,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:3:1
FinancialIncentive,incentive/AE_dewa.gov.ae_3b50d69173cd0338,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai\",\"DEWA Shams Dubai\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:3:12
FinancialIncentive,incentive/AE_dewa.gov.ae_24e39ac8fba8e0dd,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai/shams-dubai-faq\",\"DEWA Net Metering\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:4:17
FinancialIncentive,incentive/AE_dewa.gov.ae_24e39ac8fba8e0dd,\"United Arab Emirates\",dcid:country/ARE,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai/shams-dubai-faq\",\"DEWA Net Metering\",dcid:RedemptionTypeRebateOrSubsidy,,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:4:1
FinancialIncentive,incentive/AE_dewa.gov.ae_24e39ac8fba8e0dd,,,dcid:PurchaseTypeConsumption,dcid:IncentiveCategorySolar,,\"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai/shams-dubai-faq\",\"DEWA Net Metering\",dcid:RedemptionTypeRebateOrSubsidy,Number,,\"Dubai Electricity and Water Authority (DEWA)\",input_files/financial_incentives_data.csv:4:12
FinancialIncentive,incentive/AM_e.gaf.am_42a5223c0ea2ba9e,,,dcid:PurchaseTypeInstallation,dcid:IncentiveCategorySolar,,\"https://re.gaf.am/index7kom.html\",\"German-Armenian Fund (GAF) Green Loan Program\",dcid:RedemptionTypeLoan,,,\"German-Armenian Fund (GAF)\",input_files/financial_incentives_data.csv:5:17
