key,prop,value,p1,v1,,
province.name,observationAbout,{Data},populationType,Person,measuredProperty,count
Male,gender,Male,,,,
Female,gender,Female,,,,
0-4,age,[0 4 Years],,,,
5-9,age,[5 9 Years],,,,
10-14,age,[10 14 Years],,,,
15-19,age,[15 19 Years],,,,
20-24,age,[20 24 Years],,,,
25-29,age,[25 29 Years],,,,
30-34,age,[30 34 Years],,,,
35-39,age,[35 39 Years],,,,
40-44,age,[40 44 Years],,,,
45-49,age,[45 49 Years],,,,
50-54,age,[50 54 Years],,,,
55-59,age,[55 59 Years],,,,
60-64,age,[60 64 Years],,,,
65-69,age,[65 69 Years],,,,
70-74,age,[70 74 Years],,,,
75-79,age,[75 79 Years],,,,
80+,age,[80 - Years],,,,
values.0,value,{Number},observationDate,2002,,
values.1,value,{Number},observationDate,2003,,
values.2,value,{Number},observationDate,2004,,
values.3,value,{Number},observationDate,2005,,
values.4,value,{Number},observationDate,2006,,
values.5,value,{Number},observationDate,2007,,
values.6,value,{Number},observationDate,2008,,
values.7,value,{Number},observationDate,2009,,
values.8,value,{Number},observationDate,2010,,
values.9,value,{Number},observationDate,2011,,
values.10,value,{Number},observationDate,2012,,
values.11,value,{Number},observationDate,2013,,
values.12,value,{Number},observationDate,2014,,
values.13,value,{Number},observationDate,2015,,
values.14,value,{Number},observationDate,2016,,
values.15,value,{Number},observationDate,2017,,
values.16,value,{Number},observationDate,2018,,
