place_name,dcid
Andaman and Nicobar Islands,wikidataId/Q40888
Delhi,wikidataId/Q1353
Meghalaya,wikidataId/Q1195
Bihar,wikidataId/Q1165
Rajasthan,wikidataId/Q1437
Puducherry,wikidataId/Q66743
Tripura,wikidataId/Q1363
Telangana,wikidataId/Q677037
Karnataka,wikidataId/Q1185
Maharashtra,wikidataId/Q1191
Jammu and Kashmir,wikidataId/Q66278313
West Bengal,wikidataId/Q1356
Odisha,wikidataId/Q22048
Punjab,wikidataId/Q22424
Himachal Pradesh,wikidataId/Q1177
Manipur,wikidataId/Q1193
Haryana,wikidataId/Q1174
The Dadra and Nagar Haveli and Daman and Diu,wikidataId/Q77997266
Gujarat,wikidataId/Q1061
Uttar Pradesh,wikidataId/Q1498
Madhya Pradesh,wikidataId/Q1188
Mizoram,wikidataId/Q1502
Goa,wikidataId/Q1171
Chhattisgarh,wikidataId/Q1168
Tamil Nadu,wikidataId/Q1445
Jharkhand,wikidataId/Q1184
Arunachal Pradesh,wikidataId/Q1162
Chandigarh,wikidataId/Q43433
Kerala,wikidataId/Q1186
Lakshadweep,wikidataId/Q26927
Sikkim,wikidataId/Q1505
Nagaland,wikidataId/Q1599
Assam,wikidataId/Q1164
Andhra Pradesh,wikidataId/Q1159
Uttarakhand,wikidataId/Q1499
