key,prop,val,p1,val1,p2,v2,p3,v3,p4,v4,p5,v5
OBS_VALUE,value,{Number},populationType,ConsumerGoodsAndServices,measuredProperty,consumerPriceIndex,observationAbout,country/RWA,,,,
PCPI_DO_CP_01_IX,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,productType,Local,,,,,,,,
PCPI_DO_CP_02_IX,consumerGoodsCategory,AlcoholicBeveragesAndTobacco,productType,Local,,,,,,,,
PCPI_DO_CP_03_IX,consumerGoodsCategory,ClothingAndFootwear,productType,Local,,,,,,,,
PCPI_DO_CP_04_IX,consumerGoodsCategory,HousingWaterElectricityGasAndOtherFuels,productType,Local,,,,,,,,
PCPI_DO_CP_05_IX,consumerGoodsCategory,FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,productType,Local,,,,,,,,
PCPI_DO_CP_06_IX,consumerGoodsCategory,Health,productType,Local,,,,,,,,
PCPI_DO_CP_07_IX,consumerGoodsCategory,Transport,productType,Local,,,,,,,,
PCPI_DO_CP_08_IX,consumerGoodsCategory,Communication,productType,Local,,,,,,,,
PCPI_DO_CP_09_IX,consumerGoodsCategory,RecreationAndCulture,productType,Local,,,,,,,,
PCPI_DO_CP_10_IX,consumerGoodsCategory,RecreationAndCulture,productType,Local,,,,,,,,
PCPI_DO_CP_11_IX,consumerGoodsCategory,RestaurantsAndHotels,productType,Local,,,,,,,,
PCPI_DO_CP_12_IX,consumerGoodsCategory,MiscellaneousGoodsAndServices,productType,Local,,,,,,,,
PCPI_DO_CP_IX,#ignore,ignore,,,,,,,,,,
PCPI_IM_CP_01_IX,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,productType,Imported,,,,,,,,
PCPI_IM_CP_02_IX,consumerGoodsCategory,AlcoholicBeveragesAndTobacco,productType,Imported,,,,,,,,
PCPI_IM_CP_03_IX,consumerGoodsCategory,ClothingAndFootwear,productType,Imported,,,,,,,,
PCPI_IM_CP_04_IX,consumerGoodsCategory,HousingWaterElectricityGasAndOtherFuels,productType,Imported,,,,,,,,
PCPI_IM_CP_05_IX,consumerGoodsCategory,FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,productType,Imported,,,,,,,,
PCPI_IM_CP_06_IX,consumerGoodsCategory,Health,productType,Imported,,,,,,,,
PCPI_IM_CP_07_IX,consumerGoodsCategory,Transport,productType,Imported,,,,,,,,
PCPI_IM_CP_08_IX,consumerGoodsCategory,Communication,productType,Imported,,,,,,,,
PCPI_IM_CP_09_IX,consumerGoodsCategory,RecreationAndCulture,productType,Imported,,,,,,,,
PCPI_IM_CP_12_IX,consumerGoodsCategory,"MiscellaneousGoodsAndServices,",productType,Imported,,,,,,,,
PCPI_IM_CP_IX,#Ignore,ignore,,,,,,,,,,
PCPI_CP_01_IX,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,productType,AllItems,,,,,,,,
PCPI_CP_02_IX,consumerGoodsCategory,AlcoholicBeveragesAndTobacco,productType,AllItems,,,,,,,,
PCPI_CP_03_IX,consumerGoodsCategory,ClothingAndFootwear,productType,AllItems,,,,,,,,
PCPI_CP_04_IX,consumerGoodsCategory,HousingWaterElectricityGasAndOtherFuels,productType,AllItems,,,,,,,,
PCPI_CP_05_IX,consumerGoodsCategory,FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,productType,AllItems,,,,,,,,
PCPI_CP_06_IX,consumerGoodsCategory,Health,productType,AllItems,,,,,,,,
PCPI_CP_07_IX,consumerGoodsCategory,Transport,productType,AllItems,,,,,,,,
PCPI_CP_08_IX,consumerGoodsCategory,Communication,productType,AllItems,,,,,,,,
PCPI_CP_09_IX,consumerGoodsCategory,RecreationAndCulture,productType,AllItems,,,,,,,,
PCPI_CP_10_IX,consumerGoodsCategory,Education,productType,AllItems,,,,,,,,
PCPI_CP_11_IX,consumerGoodsCategory,RestaurantsAndHotels,productType,AllItems,,,,,,,,
PCPI_CP_12_IX,consumerGoodsCategory,"MiscellaneousGoodsAndServices,",productType,AllItems,,,,,,,,
PCPI_CP_IX,#ignore,ignore,,,,,,,,,,
PCPIFP_IX,#ignore,ignore,,,,,,,,,,
PCPIEN_IX,#ignore,ignore,,,,,,,,,,
PCPICO_IX,#ignore,ignore,,,,,,,,,,
PCPI_DO_CP_01_WT,#ignore,ignore,,,,,,,,,,
PCPI_DO_CP_02_WT,#ignore,ignore,,,,,,,,,,
PCPI_DO_CP_03_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_04_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_05_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_06_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_07_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_08_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_09_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_10_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_11_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_12_WT,#Ignore,ignore,,,,,,,,,,
PCPI_DO_CP_WT,#ignore,ignore,,,,,,,,,,
PCPI_IM_CP_01_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_02_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_03_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_04_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_05_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_06_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_07_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_08_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_09_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_12_WT,#Ignore,ignore,,,,,,,,,,
PCPI_IM_CP_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_01_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_02_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_03_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_04_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_05_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_06_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_07_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_08_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_09_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_10_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_11_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_12_WT,#Ignore,ignore,,,,,,,,,,
PCPI_CP_WT,#ignore,ignore,,,,,,,,,,
PCPIFP_WT,#Ignore,ignore,,,,,,,,,,
PCPIEN_WT,#Ignore,ignore,,,,,,,,,,
PCPICO_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_07_IX,consumerGoodsCategory,Transport,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_07_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_08_IX,consumerGoodsCategory,Communication,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_08_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_09_IX,consumerGoodsCategory,RecreationAndCulture,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_09_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_10_IX,consumerGoodsCategory,Education,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_10_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_11_IX,consumerGoodsCategory,RestaurantsAndHotels,placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_11_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_12_IX,consumerGoodsCategory,"MiscellaneousGoodsAndServices,",placeOfResidenceClassification,Rural,,,,,,,,
PCPIL_CP_12_WT,#Ignore,ignore,,,,,,,,,,
PCPIL_CP_IX,#ignore,ignore,,,,,,,,,,
PCPIL_CP_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_01_IX,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_01_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_0111_IX,consumerGoodsCategory,BreadAndCereals ,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_0111_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_0112_IX,consumerGoodsCategory,Meat,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_0112_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_0114_IX,consumerGoodsCategory,Fish,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_0114_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_0117_IX,consumerGoodsCategory,Vegetables,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_0117_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_012_IX,consumerGoodsCategory,NonAlcoholicBeverages,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_012_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_02_IX,consumerGoodsCategory,AlcoholicBeveragesAndTobacco,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_02_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_03_IX,consumerGoodsCategory,ClothingAndFootwear,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_03_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_04_IX,consumerGoodsCategory,HousingWaterElectricityGasAndOtherFuels,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_04_WT,#Ignore,ignore,,,,,,,,,,
FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,,,consumerGoodsCategory,FurnishingHouseholdEquipmentAndRoutineHouseholdMaintenance,placeOfResidenceClassification,Urban,,,,,,
PCPIU_CP_05_WT,#Ignore,ignore,,,,,,,,,,
PCPIU_CP_06_IX,consumerGoodsCategory,Health,placeOfResidenceClassification,Urban,,,,,,,,
PCPIU_CP_06_WT,#Ignore,ignore,,,,,,,,,,
