key,prop,val,p1,v1,p2,v2,,
OBS_VALUE,value,{Number},populationType,Person,,,,
I3,employmentStatus,BLS_InLaborForce,,,,,,
I4,employmentStatus,Employed,,,,,,
I5,employmentStatus,Unemployed,,,,,,
I6,employmentStatus,BLS_NotInLaborForce,,,,,,
I7,employmentStatus,BLS_InLaborForce,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100
I8,employmentStatus,Employed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100
I9,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100
2018,observationDate,2018,,,,,,
2019,observationDate,2019,,,,,,
2021,observationDate,2021,,,,,,
2019-Q1,observationDate,2019-03,,,,,,
2019-Q2,observationDate,2019-06,,,,,,
2019-Q3,observationDate,2019-09,,,,,,
2019-Q4,observationDate,2019-12,,,,,,
2020-Q1,observationDate,2020-03,,,,,,
2020-Q3,observationDate,2020-09,,,,,,
2020-Q4,observationDate,2020-12,,,,,,
2021-Q1,observationDate,2021-03,,,,,,
2021-Q2,observationDate,2021-06,,,,,,
2021-Q3,observationDate,2021-09,,,,,,
2021-Q4,observationDate,2021-12,,,,,,
2022-Q2,observationDate,2022-06,,,,,,
2022-Q3,observationDate,2022-09,,,,,,
M,gender,Male,,,,,,
F,gender,Female,,,,,,
U,placeOfResidenceClassification,Urban,,,,,,
R,placeOfResidenceClassification,Rural,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,
FREQ:Q,observationPeriod,P3M,,,,,,
I1,#ignore,ignore,age,[16 - Years],observationAbout,country/RWA,,
MS1,maritalStatus,Married,observationAbout,country/RWA,,,,
MS2,maritalStatus,LivingTogether,observationAbout,country/RWA,,,,
MS3,maritalStatus,Divorced,observationAbout,country/RWA,,,,
MS4,maritalStatus,Unmarried,observationAbout,country/RWA,,,,
MS5,maritalStatus,Widowed,observationAbout,country/RWA,,,,
