key,prop,val,p1,v1,p2,v2
OBS_VALUE,value,{Number},populationType,Person,observationAbout,country/RWA
I1,employmentStatus,Employed,,,,
I2,economicSector,AgricultureForestryFishingSector,,,,
I3,economicSector,MiningQuarrying,,,,
I4,economicSector,ManufacturingSector,,,,
I5,economicSector,ElectricityGasSteamAirConditionSupply,,,,
I6,economicSector,WaterSupplySewerageWasteManagement,,,,
I1,#ignore,ignore,,,,
TOT,#ignore,ignore,,,,
M,gender,Male,,,,
F,gender,Female,,,,
U,placeOfResidenceClassification,Urban,,,,
R,placeOfResidenceClassification,Rural,,,,
PS,economicActivitySource,SubsistenceAgriculture,,,,
NPS,economicActivitySource,NonSubsistenceAgriculture,,,,
FREQ:A,observationPeriod,P1Y,,,,
FREQ:Q,observationPeriod,P3M,,,,
2018,observationDate,2018,,,,
2019,observationDate,2019,,,,
2020,observationDate,2020,,,,
2021,observationDate,2021,,,,
2019-Q1,observationDate,2019-03,,,,
2019-Q2,observationDate,2019-06,,,,
2019-Q3,observationDate,2019-09,,,,
2019-Q4,observationDate,2019-12,,,,
2020-Q1,observationDate,2020-03,,,,
2020-Q2,observationDate,2020-06,,,,
2020-Q3,observationDate,2020-09,,,,
2020-Q4,observationDate,2020-12,,,,
2021-Q1,observationDate,2021-03,,,,
2021-Q2,observationDate,2021-06,,,,
2021-Q3,observationDate,2021-09,,,,
2021-Q4,observationDate,2021-12,,,,
2022-Q1,observationDate,2022-03,,,,
2022-Q3,observationDate,2022-09,,,,
