key,prop,val,p1,v1,p2,v2,,,,,,
TIME_PERIOD,observationAbout,country/RWA,populationType,Person,,,,,,,,
OBS_VALUE,value,{Number},,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,
FREQ:Q,observationPeriod,P3M,,,,,,,,,,
I1,age,[16 - Years],,,,,,,,,,
I2,employmentStatus,BLS_InLaborForce,,,,,,,,,,
I3,employmentStatus,InLaborForceEmployed,,,,,,,,,,
I4,employmentStatus,InLaborForceUnemployed,,,,,,,,,,
I5,employmentStatus,BLS_NotInLaborForce,,,,,,,,,,
I6,employmentStatus,LaborUnderutilized,,,,,,,,,,
I7,employmentStatus,LaborUnderutilizedUnemployed,,,,,,,,,,
I8,employmentStatus,LaborUnderutilizedTimeRelatedUnderemployed,,,,,,,,,,
I9,employmentStatus,LaborUnderutilizedPotentialLaborForce,,,,,,,,,,
I10,employmentStatus,BLS_InLaborForce,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I11,employmentStatus,Employed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I12,employmentStatus,TimeRelatedUnderemployed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I13,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I14,employmentStatus,Unemployed__TimeRelatedUnderemployed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I15,employmentStatus,Unemployed__PotentialLaborForce,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I16,employmentStatus,LaborUnderutilized,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,,,
I17,employmentStatus,Unemployed,age,[16 30 Years],measurementDenominator,-employmentStatus,,,,,,
I18,employmentStatus,Employed,incomeSource,MainJob,statType,medianValue,measuredProperty,income,measurementQualifier,Monthly,unit,RWF
M,gender,Male,,,,,,,,,,
F,gender,Female,,,,,,,,,,
U,placeOfResidenceClassification,Urban,,,,,,,,,,
R,placeOfResidenceClassification,Rural,,,,,,,,,,
PS,economicActivitySource,SubsistenceAgriculture,,,,,,,,,,
NPS,economicActivitySource,NonSubsistenceAgriculture,,,,,,,,,,
2018,observationDate,2018,,,,,,,,,,
2019,observationDate,2019,,,,,,,,,,
2020,observationDate,2020,,,,,,,,,,
2021,observationDate,2021,,,,,,,,,,
2019-Q1,observationDate,2019-03,,,,,,,,,,
2019-Q2,observationDate,2019-06,,,,,,,,,,
2019-Q3,observationDate,2019-09,,,,,,,,,,
2019-Q4,observationDate,2019-12,,,,,,,,,,
2020-Q1,observationDate,2020-03,,,,,,,,,,
2020-Q2,observationDate,2020-06,,,,,,,,,,
2020-Q3,observationDate,2020-09,,,,,,,,,,
2020-Q4,observationDate,2020-12,,,,,,,,,,
2021-Q1,observationDate,2021-03,,,,,,,,,,
2021-Q2,observationDate,2021-06,,,,,,,,,,
2021-Q3,observationDate,2021-09,,,,,,,,,,
2021-Q4,observationDate,2021-12,,,,,,,,,,
2022-Q1,observationDate,2022-03,,,,,,,,,,
2022-Q3,observationDate,2022-06,,,,,,,,,,
INDICATOR:I1:SEX-RESIDENTIAL-AREA:TOT,#ignore,ignore,,,,,,,,,,
