,Quarter,GeoId,chained_2012_dollars,quantity_index,current_dollars
0,,,,101.703,223721900000.0
1,,,,98.714,54467100000.0
2,,,,103.18,347792700000.0
3,,,,101.696,127737000000.0
4,,,,102.541,2838125200000.0
5,,,,104.26,370594800000.0
6,,,,100.499,278908800000.0
7,,,,100.361,71458300000.0
8,,,,101.666,138484000000.0
9,,,,102.982,1057137200000.0
10,,,,101.635,599573700000.0
11,,,,101.122,89640300000.0
12,,,,105.326,77688800000.0
13,,,,101.89,860328800000.0
14,,,,102.834,373169900000.0
15,,,,101.076,191722400000.0
16,,,,101.203,170514900000.0
17,,,,100.525,207400700000.0
18,,,,101.888,252420400000.0
19,,,,102.379,65348500000.0
20,,,,100.474,406467400000.0
21,,,,102.795,550956500000.0
22,,,,102.577,522716000000.0
23,,,,101.981,366241600000.0
24,,,,100.054,112271100000.0
25,,,,100.29,315820800000.0
26,,,,101.79,50494400000.0
27,,,,102.138,127375100000.0
28,,,,102.769,170031900000.0
29,,,,101.762,83516600000.0
30,,,,102.276,610811600000.0
31,,,,101.825,96751900000.0
32,,,,102.003,1685061000000.0
33,,,,101.234,560378800000.0
34,,,,102.104,59063500000.0
35,,,,100.05,662547200000.0
36,,,,100.967,200235100000.0
37,,,,103.18,235121200000.0
38,,,,100.911,771274500000.0
39,,,,100.018,59580500000.0
40,,,,102.102,232511400000.0
41,,,,102.392,53793300000.0
42,,,,101.624,365351900000.0
43,,,,103.401,1766113200000.0
44,,,,103.858,181469000000.0
45,,,,100.885,33266600000.0
46,,,,101.732,529552900000.0
47,,,,104.918,557257600000.0
48,,,,101.497,77876400000.0
49,,,,102.123,332427800000.0
50,,,,100.377,38959200000.0
51,,,,101.729,225456800000.0
52,,,,97.997,54586000000.0
53,,,,103.507,351351100000.0
54,,,,101.673,128619900000.0
55,,,,103.632,2885427000000.0
56,,,,103.942,372029500000.0
57,,,,99.695,278608000000.0
58,,,,100.774,72457000000.0
59,,,,102.587,140581100000.0
60,,,,102.966,1064630399999.9999
61,,,,102.5,608919800000.0
62,,,,101.885,90932700000.0
63,,,,106.07,78714600000.0
64,,,,102.051,868082100000.0
65,,,,102.879,376009000000.0
66,,,,101.331,193407100000.0
67,,,,101.797,172657100000.0
68,,,,101.301,210485900000.0
69,,,,102.243,256234900000.0
70,,,,102.912,66150899999.99999
71,,,,100.836,410619600000.0
72,,,,103.521,558295700000.0
73,,,,102.644,526112500000.0
74,,,,102.609,371105600000.0
75,,,,100.401,113573100000.0
76,,,,101.078,320445800000.0
77,,,,102.059,51099600000.0
78,,,,101.43,127287900000.0
79,,,,102.963,171429500000.0
80,,,,101.3,83699800000.0
81,,,,102.536,616691300000.0
82,,,,102.997,98534500000.0
