key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
place,observationAbout,{Data},,,,,,,,,,,,
2011,value,{Number},observationDate,2011,,,,,,,,,,
Coverage Rates By Level Of Education: Nursery: Existing Schools,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,Nursery,schoolType,ExistingSchool,,,,
Coverage Rates By Level Of Education: Nursery: Schools That Responded,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,Nursery,schoolType,RespondedSchool,,,,
Coverage Rates By Level Of Education: Nursery: Response Rate%,#ignore,ignore values,,,,,,,,,,,,
Coverage Rates By Level Of Education: Primary: Existing Schools,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,PrimaryEducation,schoolType,ExistingSchool,,,,
Coverage Rates By Level Of Education: Primary: Schools That Responded,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,PrimaryEducation,schoolType,RespondedSchool,,,,
Coverage Rates By Level Of Education: Primary: Response Rate%,#ignore,ignore values,,,,,,,,,,,,
Coverage Rates By Level Of Education: Secondary: Existing Schools,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,SecondaryEducation,schoolType,ExistingSchool,,,,
Coverage Rates By Level Of Education: High School: Schools That Responded,populationType,School,measuredProperty,coverageRates,statType,measuredValue,schoolGradeLevel,SecondaryEducation,schoolType,RespondedSchool,,,,
Coverage Rates By Level Of Education: Secondary: Response Rate%,#ignore,ignore values,,,,,,,,,,,,
Coverage Rates By Level Of Education: Together: Existing Schools,#ignore,ignore values,,,,,,,,,,,,
Coverage Rates By Level Of Education: Together: Schools That Responded,#ignore,ignore values,,,,,,,,,,,,
Coverage Rates By Education Level: Set: Response Rate%,#ignore,ignore values,,,,,,,,,,,,
Educators Female Participation Rate Management Regime: Ecp (Public Sector),#ignore,ignore values,,,,,,,,,,,,
Educators Female Participation Rate Management Regime: Eci (Public Sector),#ignore,ignore values,,,,,,,,,,,,
"Ratio Children / Educators In Pre-Primary, Children Enrolled",#ignore,ignore values,,,,,,,,,,,,
"Ratio Children / Educators In Pre-Primary, Educators",#ignore,ignore values,,,,,,,,,,,,
Ratio Children / Educators In Pre-Primary Ratio Children / Educators,#ignore,ignore values,,,,,,,,,,,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Enc (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,NonConventionalTeaching,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Ecc (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingCatholic,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Ecp (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingProtestant,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Eck (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingKimbanguiste,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Eci (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingIslamic,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Ecs (Public Sector),#ignore,ignore values,,,,,,,,,,,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Ecf (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingBrotherhood,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education Other (Public Sector),#ignore,ignore values,,,,,,,,,,,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education: Total (Public Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education (Private Sector),populationType,School,measuredProperty,count,statType,measuredValue,schoolGradeLevel,Nursery,typeOfSchool,PrivateSchool,,,,
Number Of Pre-Primary Schools By Management Regime In Nursery Education (Total General),#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Management Regime In Nursery Education: Enc (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,NonConventionalTeaching,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education: Ecc (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingCatholic,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education: Ecp (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingProtestant,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education: Eck (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingKimbanguiste,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education: Eci (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingIslamic,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education: Ecs (Public Sector),#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Management Regime In Nursery Education: Ecf (Public Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingBrotherhood,schoolGradeLevel,Nursery,typeOfSchool,PublicSchool,,
Number Of Classes Organized By Management Regime In Nursery Education Other (Public Sector),#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Management Regime In Nursery Education (Private Sector),populationType,ClassRoom,measuredProperty,count,statType,measuredValue,schoolGradeLevel,Nursery,typeOfSchool,PrivateSchool,,,,
Number Of Classes Organized By Management Regime In Nursery Education (Total General),#ignore,ignore values,,,,,,,,,,,,
Number Of Establishments By Management Regime In Primary Education: Enc,populationType,Establishment,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,NonConventionalTeaching,schoolGradeLevel,PrimaryEducation,,,,
Number Of Establishments By Management Regime In Primary Education: Ecc,populationType,Establishment,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingCatholic,schoolGradeLevel,PrimaryEducation,,,,
Number Of Establishments By Management Regime In Primary Education: Ecp,populationType,Establishment,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingProtestant,schoolGradeLevel,PrimaryEducation,,,,
Number Of Establishments By Management Regime In Primary Education: Eck,populationType,Establishment,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingKimbanguiste,schoolGradeLevel,PrimaryEducation,,,,
Number Of Establishments By Management Regime In Primary Education: Ecf,populationType,Establishment,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,ConventionalTeachingBrotherhood,schoolGradeLevel,PrimaryEducation,,,,
Number Of Establishments By Management Regime In Primary Education: Other,#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Grade According To The Management System In Primary Education: Ecc,#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Grade According To The Management System In Primary Education: Ecp,#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Grade According To The Management System In Primary Education: Cis,#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Grade According To The Management System In Primary Education: Ecf,#ignore,ignore values,,,,,,,,,,,,
Number Of Classes Organized By Grade According To The Management System In Primary Education: Other,#ignore,ignore values,,,,,,,,,,,,
Student Enrollment By Gender In Primary Education Sector: Boy (Public),populationType,Student,measuredProperty,count,statType,measuredValue,enrollmentLevel,PrimaryEducation,gender,Male,typeOfSchool,PublicSchool,,
Student Enrollment By Gender In Primary Education Sector: Girl (Public),populationType,Student,measuredProperty,count,statType,measuredValue,enrollmentLevel,PrimaryEducation,gender,Female,typeOfSchool,PublicSchool,,
Student Enrollment By Gender In Primary Education Sector: Total (Public),populationType,Student,measuredProperty,count,statType,measuredValue,enrollmentLevel,PrimaryEducation,typeOfSchool,PublicSchool,,,,
Student Enrollment By Gender In Primary Education Sector: Total (Public): Girl (Private),#ignore,ignore values,,,,,,,,,,,,
Student Enrollment By Gender In Primary Education Sector: Total (Public): Total (Private),#ignore,ignore values,,,,,,,,,,,,
Number Of Students Repeaters Distributed By Management Regime And Sex In Primary Education: Total (Public),#ignore,ignore values,,,,,,,,,,,,
Number Of Students Repeaters Distributed By Management Regime And Sex In Primary Education: Total (Public): Boy (Private),#ignore,ignore values,,,,,,,,,,,,
Number Of Students Repeaters Distributed By Management Regime And Sex In Primary Education: Total (Public): Girl (Private),#ignore,ignore values,,,,,,,,,,,,
Number Of Students Repeaters Distributed By System Management And Gender In Primary Education: Total (Public): Total (Private),#ignore,ignore values,,,,,,,,,,,,
"Qualification: Unless D4, Man",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[- 4 Years],gender,Male,measurementQualifier,Qualifications,,
"Qualification: Unless D4, Female",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[- 4 Years],gender,Female,measurementQualifier,Qualifications,,
"Qualification: Unless D4, Total",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[- 4 Years],measurementQualifier,Qualifications,,,,
"Qualification: D4, Man",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[4 Years],gender,Male,measurementQualifier,Qualifications,,
"Qualification: D6, Female",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[6 Years],gender,Female,measurementQualifier,Qualifications,,
Qualification: D6 Man,populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[6 Years],gender,Male,measurementQualifier,Qualifications,,
"Qualification: P6, Man",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[6 Years],gender,Male,measurementQualifier,Qualifications,educationalAttainment,StateOrOtherSectorDegree
"Qualification: P6, Female",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[6 Years],gender,Female,measurementQualifier,Qualifications,educationalAttainment,StateOrOtherSectorDegree
"Qualification: P6, Total",populationType,Teacher,measuredProperty,count,statType,measuredValue,teachingExperience,[6 Years],measurementQualifier,Qualifications,educationalAttainment,StateOrOtherSectorDegree,,
"Qualification: Other, Male",#ignore,ignore values,,,,,,,,,,,,
"Qualification: Other, Woman",#ignore,ignore values,,,,,,,,,,,,
"Qualification: Others, Total",#ignore,ignore values,,,,,,,,,,,,
"Proportion Of Clay Classrooms, Number Of Classrooms",populationType,ClassRoom,measuredProperty,count,statType,measuredValue,typeOfClassroom,ClayRoom,,,,,,
"Proportion Of Clay Classrooms, Number Of Classrooms Semi Hard",populationType,ClassRoom,measuredProperty,count,statType,measuredValue,typeOfClassroom,ClayRoom,classroomCondition,SemiHardRoom,,,,
"Proportion Of Clay Classrooms, Lecture Halls% Clay",#ignore,ignore values,,,,,,,,,,,,
Distribution Of Administrative Qualification By: Enc: Unless D4: Female,populationType,Person,measuredProperty,count,statType,measuredValue,schoolManagementRegime ,NonConventionalTeaching,teachingExperience,[- 4 Years],gender,Female,,
